PWM [%], 170v 2mA, 170v 2.5mA, 250v 2mA, 170v 1mA, 170v 1.5mA
100,1.45,1.78,1.43,0.72,1.02
95,1.34,1.68,1.39,0.68,0.96
90,1.3,1.61,1.34,0.66,0.91
85,1.19,1.53,1.3,0.61,0.86
80,1.15,1.44,1.26,0.58,0.82
75,1.05,1.36,1.21,0.54,0.76
70,1.02,1.26,1.16,0.51,0.71
65,0.91,1.17,1.12,0.47,0.66
60,0.87,1.09,1.08,0.42,0.61
55,0.79,1.00,1.03,0.4,0.57
50,0.73,0.91,0.99,0.36,0.52
45,0.65,0.83,0.94,0.32,0.46
40,0.59,0.74,0.89,0.29,0.41
35,0.51,0.65,0.85,0.25,0.37
30,0.45,0.56,0.81,0.22,0.31
25,0.37,0.46,0.76,0.18,0.27
20,0.3,0.38,0.72,0.15,0.22
15,0.22,0.29,0.68,0.12,0.16
10,0.15,0.19,0.62,0.08,0.12
5,0.08,0.1,0.58,0.04,0.05
0,0.01,0.01,0.54,0.01,0.01
